year,team,pre_tournament_rank,pre_tournament_points,ranking_snapshot_date
2014,Netherlands,15,981.0,2014-06-05
2014,Nigeria,44,640.0,2014-06-05
2014,Portugal,4,1189.0,2014-06-05
2014,Russia,19,893.0,2014-06-05
2014,South Korea,58,547.0,2014-06-05
2014,Spain,1,1485.0,2014-06-05
2014,Switzerland,6,1149.0,2014-06-05
2014,United States,13,1035.0,2014-06-05
2014,Uruguay,7,1147.0,2014-06-05
2018,Argentina,5,1241.0,2018-06-07
2018,Australia,36,718.0,2018-06-07
2018,Belgium,3,1298.0,2018-06-07
2018,Brazil,2,1431.0,2018-06-07
2018,Colombia,16,986.0,2018-06-07
2018,Costa Rica,23,884.0,2018-06-07
2018,Croatia,20,945.0,2018-06-07
2018,Denmark,12,1051.0,2018-06-07
2018,Egypt,45,649.0,2018-06-07
2018,England,13,1051.0,2018-06-07
2018,France,7,1198.0,2018-06-07
2018,Germany,1,1558.0,2018-06-07
2018,Iceland,22,908.0,2018-06-07
2018,Iran,37,708.0,2018-06-07
2018,Japan,61,521.0,2018-06-07
2018,Mexico,15,989.0,2018-06-07
2018,Morocco,41,686.0,2018-06-07
2018,Nigeria,48,618.0,2018-06-07
2018,Panama,55,571.0,2018-06-07
2018,Peru,11,1125.0,2018-06-07
2018,Poland,8,1183.0,2018-06-07
2018,Portugal,4,1274.0,2018-06-07
2018,Russia,70,457.0,2018-06-07
2018,Saudi Arabia,67,465.0,2018-06-07
2018,Senegal,27,838.0,2018-06-07
2018,Serbia,34,751.0,2018-06-07
2018,South Korea,57,544.0,2018-06-07
2018,Spain,10,1126.0,2018-06-07
2018,Sweden,24,880.0,2018-06-07
2018,Switzerland,6,1199.0,2018-06-07
2018,Tunisia,21,910.0,2018-06-07
2018,Uruguay,14,1018.0,2018-06-07
2022,Argentina,3,1773.88,2022-10-06
2022,Australia,38,1488.72,2022-10-06
2022,Belgium,2,1816.71,2022-10-06
2022,Brazil,1,1841.3,2022-10-06
2022,Cameroon,43,1471.44,2022-10-06
2022,Canada,41,1475.0,2022-10-06
2022,Costa Rica,31,1503.59,2022-10-06
2022,Croatia,12,1645.64,2022-10-06
2022,Denmark,10,1666.57,2022-10-06
2022,Ecuador,44,1464.39,2022-10-06
2022,England,5,1728.47,2022-10-06
2022,France,4,1759.78,2022-10-06
2022,Germany,11,1650.21,2022-10-06
2022,Ghana,61,1393.0,2022-10-06
2022,Iran,20,1564.61,2022-10-06
2022,Japan,24,1559.54,2022-10-06
2022,Mexico,13,1644.89,2022-10-06
2022,Morocco,22,1563.5,2022-10-06
2022,Netherlands,8,1694.51,2022-10-06
2022,Poland,26,1548.59,2022-10-06
2022,Portugal,9,1676.56,2022-10-06
2022,Qatar,50,1439.89,2022-10-06
2022,Saudi Arabia,51,1437.78,2022-10-06
2022,Senegal,18,1584.38,2022-10-06
2022,Serbia,21,1563.62,2022-10-06
2022,South Korea,28,1530.3,2022-10-06
2022,Spain,7,1715.22,2022-10-06
2022,Switzerland,15,1635.92,2022-10-06
2022,Tunisia,30,1507.54,2022-10-06
2022,United States,16,1627.48,2022-10-06
2022,Uruguay,14,1638.71,2022-10-06
2022,Wales,19,1569.82,2022-10-06
