year,group_name,team_a,team_b,team_c,ab_pts_for_a,bc_pts_for_b,ac_pts_for_a,a_beats_b,b_beats_c,is_transitivity_triple,transitive,rank_a,rank_b,rank_c,rank_gap_ab,rank_gap_bc,rank_gap_ac
1994,Group C,Spain,Germany,South Korea,0.5,1.0,0.5,0,1,0,,5,1,,4,,
1994,Group C,Spain,South Korea,Bolivia,0.5,0.5,1.0,0,0,0,,5,,43,,,-38
1994,Group C,Spain,South Korea,Germany,0.5,0.0,0.5,0,0,0,,5,,1,,,4
1994,Group D,Argentina,Bulgaria,Greece,0.0,1.0,1.0,0,1,0,,8,29,31,-21,-2,-23
1994,Group D,Argentina,Bulgaria,Nigeria,0.0,0.0,1.0,0,0,0,,8,29,11,-21,18,-3
1994,Group D,Argentina,Greece,Bulgaria,1.0,0.0,0.0,1,0,0,,8,31,29,-23,2,-21
1994,Group D,Argentina,Greece,Nigeria,1.0,0.0,1.0,1,0,0,,8,31,11,-23,20,-3
1994,Group D,Argentina,Nigeria,Bulgaria,1.0,1.0,0.0,1,1,1,0,8,11,29,-3,-18,-21
1994,Group D,Argentina,Nigeria,Greece,1.0,1.0,1.0,1,1,1,1,8,11,31,-3,-20,-23
1994,Group D,Bulgaria,Argentina,Greece,1.0,1.0,1.0,1,1,1,1,29,8,31,21,-23,-2
1994,Group D,Bulgaria,Argentina,Nigeria,1.0,1.0,0.0,1,1,1,0,29,8,11,21,-3,18
1994,Group D,Bulgaria,Greece,Argentina,1.0,0.0,1.0,1,0,0,,29,31,8,-2,23,21
1994,Group D,Bulgaria,Greece,Nigeria,1.0,0.0,0.0,1,0,0,,29,31,11,-2,20,18
1994,Group D,Bulgaria,Nigeria,Argentina,0.0,0.0,1.0,0,0,0,,29,11,8,18,3,21
1994,Group D,Bulgaria,Nigeria,Greece,0.0,1.0,1.0,0,1,0,,29,11,31,18,-20,-2
1994,Group D,Greece,Argentina,Bulgaria,0.0,0.0,0.0,0,0,0,,31,8,29,23,-21,2
1994,Group D,Greece,Argentina,Nigeria,0.0,1.0,0.0,0,1,0,,31,8,11,23,-3,20
1994,Group D,Greece,Bulgaria,Argentina,0.0,1.0,0.0,0,1,0,,31,29,8,2,21,23
1994,Group D,Greece,Bulgaria,Nigeria,0.0,0.0,0.0,0,0,0,,31,29,11,2,18,20
1994,Group D,Greece,Nigeria,Argentina,0.0,0.0,0.0,0,0,0,,31,11,8,20,3,23
1994,Group D,Greece,Nigeria,Bulgaria,0.0,1.0,0.0,0,1,0,,31,11,29,20,-18,2
1994,Group D,Nigeria,Argentina,Bulgaria,0.0,0.0,1.0,0,0,0,,11,8,29,3,-21,-18
1994,Group D,Nigeria,Argentina,Greece,0.0,1.0,1.0,0,1,0,,11,8,31,3,-23,-20
1994,Group D,Nigeria,Bulgaria,Argentina,1.0,1.0,0.0,1,1,1,0,11,29,8,-18,21,3
1994,Group D,Nigeria,Bulgaria,Greece,1.0,1.0,1.0,1,1,1,1,11,29,31,-18,-2,-20
1994,Group D,Nigeria,Greece,Argentina,1.0,0.0,0.0,1,0,0,,11,31,8,-20,23,3
1994,Group D,Nigeria,Greece,Bulgaria,1.0,0.0,1.0,1,0,0,,11,31,29,-20,2,-18
1994,Group E,Italy,Mexico,Norway,0.5,0.0,1.0,0,0,0,,4,16,6,-12,10,-2
1994,Group E,Italy,Mexico,Republic of Ireland,0.5,1.0,0.0,0,1,0,,4,16,14,-12,2,-10
1994,Group E,Italy,Norway,Mexico,1.0,1.0,0.5,1,1,1,0,4,6,16,-2,-10,-12
1994,Group E,Italy,Norway,Republic of Ireland,1.0,0.5,0.0,1,0,0,,4,6,14,-2,-8,-10
1994,Group E,Italy,Republic of Ireland,Mexico,0.0,0.0,0.5,0,0,0,,4,14,16,-10,-2,-12
1994,Group E,Italy,Republic of Ireland,Norway,0.0,0.5,1.0,0,0,0,,4,14,6,-10,8,-2
1994,Group E,Mexico,Italy,Norway,0.5,1.0,0.0,0,1,0,,16,4,6,12,-2,10
1994,Group E,Mexico,Italy,Republic of Ireland,0.5,0.0,1.0,0,0,0,,16,4,14,12,-10,2
1994,Group E,Mexico,Norway,Italy,0.0,0.0,0.5,0,0,0,,16,6,4,10,2,12
1994,Group E,Mexico,Norway,Republic of Ireland,0.0,0.5,1.0,0,0,0,,16,6,14,10,-8,2
1994,Group E,Mexico,Republic of Ireland,Italy,1.0,1.0,0.5,1,1,1,0,16,14,4,2,10,12
1994,Group E,Mexico,Republic of Ireland,Norway,1.0,0.5,0.0,1,0,0,,16,14,6,2,8,10
1994,Group E,Norway,Italy,Mexico,0.0,0.5,1.0,0,0,0,,6,4,16,2,-12,-10
1994,Group E,Norway,Italy,Republic of Ireland,0.0,0.0,0.5,0,0,0,,6,4,14,2,-10,-8
1994,Group E,Norway,Mexico,Italy,1.0,0.5,0.0,1,0,0,,6,16,4,-10,12,2
1994,Group E,Norway,Mexico,Republic of Ireland,1.0,1.0,0.5,1,1,1,0,6,16,14,-10,2,-8
1994,Group E,Norway,Republic of Ireland,Italy,0.5,1.0,0.0,0,1,0,,6,14,4,-8,10,2
1994,Group E,Norway,Republic of Ireland,Mexico,0.5,0.0,1.0,0,0,0,,6,14,16,-8,-2,-10
1994,Group E,Republic of Ireland,Italy,Mexico,1.0,0.5,0.0,1,0,0,,14,4,16,10,-12,-2
1994,Group E,Republic of Ireland,Italy,Norway,1.0,1.0,0.5,1,1,1,0,14,4,6,10,-2,8
1994,Group E,Republic of Ireland,Mexico,Italy,0.0,0.5,1.0,0,0,0,,14,16,4,-2,12,10
1994,Group E,Republic of Ireland,Mexico,Norway,0.0,0.0,0.5,0,0,0,,14,16,6,-2,10,8
1994,Group E,Republic of Ireland,Norway,Italy,0.5,0.0,1.0,0,0,0,,14,6,4,8,2,10
1994,Group E,Republic of Ireland,Norway,Mexico,0.5,1.0,0.0,0,1,0,,14,6,16,8,-10,-2
1994,Group F,Belgium,Morocco,Netherlands,1.0,0.0,1.0,1,0,0,,27,28,2,-1,26,25
1994,Group F,Belgium,Morocco,Saudi Arabia,1.0,0.0,0.0,1,0,0,,27,28,34,-1,-6,-7
1994,Group F,Belgium,Netherlands,Morocco,1.0,1.0,1.0,1,1,1,1,27,2,28,25,-26,-1
1994,Group F,Belgium,Netherlands,Saudi Arabia,1.0,1.0,0.0,1,1,1,0,27,2,34,25,-32,-7
1994,Group F,Belgium,Saudi Arabia,Morocco,0.0,1.0,1.0,0,1,0,,27,34,28,-7,6,-1
1994,Group F,Belgium,Saudi Arabia,Netherlands,0.0,0.0,1.0,0,0,0,,27,34,2,-7,32,25
1994,Group F,Morocco,Belgium,Netherlands,0.0,1.0,0.0,0,1,0,,28,27,2,1,25,26
1994,Group F,Morocco,Belgium,Saudi Arabia,0.0,0.0,0.0,0,0,0,,28,27,34,1,-7,-6
1994,Group F,Morocco,Netherlands,Belgium,0.0,0.0,0.0,0,0,0,,28,2,27,26,-25,1
1994,Group F,Morocco,Netherlands,Saudi Arabia,0.0,1.0,0.0,0,1,0,,28,2,34,26,-32,-6
1994,Group F,Morocco,Saudi Arabia,Belgium,0.0,1.0,0.0,0,1,0,,28,34,27,-6,7,1
1994,Group F,Morocco,Saudi Arabia,Netherlands,0.0,0.0,0.0,0,0,0,,28,34,2,-6,32,26
1994,Group F,Netherlands,Belgium,Morocco,0.0,1.0,1.0,0,1,0,,2,27,28,-25,-1,-26
1994,Group F,Netherlands,Belgium,Saudi Arabia,0.0,0.0,1.0,0,0,0,,2,27,34,-25,-7,-32
1994,Group F,Netherlands,Morocco,Belgium,1.0,0.0,0.0,1,0,0,,2,28,27,-26,1,-25
1994,Group F,Netherlands,Morocco,Saudi Arabia,1.0,0.0,1.0,1,0,0,,2,28,34,-26,-6,-32
1994,Group F,Netherlands,Saudi Arabia,Belgium,1.0,1.0,0.0,1,1,1,0,2,34,27,-32,7,-25
1994,Group F,Netherlands,Saudi Arabia,Morocco,1.0,1.0,1.0,1,1,1,1,2,34,28,-32,6,-26
1994,Group F,Saudi Arabia,Belgium,Morocco,1.0,1.0,1.0,1,1,1,1,34,27,28,7,-1,6
1994,Group F,Saudi Arabia,Belgium,Netherlands,1.0,1.0,0.0,1,1,1,0,34,27,2,7,25,32
1994,Group F,Saudi Arabia,Morocco,Belgium,1.0,0.0,1.0,1,0,0,,34,28,27,6,1,7
1994,Group F,Saudi Arabia,Morocco,Netherlands,1.0,0.0,0.0,1,0,0,,34,28,2,6,26,32
1994,Group F,Saudi Arabia,Netherlands,Belgium,0.0,0.0,1.0,0,0,0,,34,2,27,32,-25,7
1994,Group F,Saudi Arabia,Netherlands,Morocco,0.0,1.0,1.0,0,1,0,,34,2,28,32,-26,6
1998,Group A,Brazil,Morocco,Norway,1.0,0.5,0.0,1,0,0,,1,13,7,-12,6,-6
1998,Group A,Brazil,Morocco,Scotland,1.0,1.0,1.0,1,1,1,1,1,13,41,-12,-28,-40
1998,Group A,Brazil,Norway,Morocco,0.0,0.5,1.0,0,0,0,,1,7,13,-6,-6,-12
1998,Group A,Brazil,Norway,Scotland,0.0,0.5,1.0,0,0,0,,1,7,41,-6,-34,-40
1998,Group A,Brazil,Scotland,Morocco,1.0,0.0,1.0,1,0,0,,1,41,13,-40,28,-12
1998,Group A,Brazil,Scotland,Norway,1.0,0.5,0.0,1,0,0,,1,41,7,-40,34,-6
1998,Group A,Morocco,Brazil,Norway,0.0,0.0,0.5,0,0,0,,13,1,7,12,-6,6
1998,Group A,Morocco,Brazil,Scotland,0.0,1.0,1.0,0,1,0,,13,1,41,12,-40,-28
1998,Group A,Morocco,Norway,Brazil,0.5,1.0,0.0,0,1,0,,13,7,1,6,6,12
1998,Group A,Morocco,Norway,Scotland,0.5,0.5,1.0,0,0,0,,13,7,41,6,-34,-28
1998,Group A,Morocco,Scotland,Brazil,1.0,0.0,0.0,1,0,0,,13,41,1,-28,40,12
1998,Group A,Morocco,Scotland,Norway,1.0,0.5,0.5,1,0,0,,13,41,7,-28,34,6
1998,Group A,Norway,Brazil,Morocco,1.0,1.0,0.5,1,1,1,0,7,1,13,6,-12,-6
1998,Group A,Norway,Brazil,Scotland,1.0,1.0,0.5,1,1,1,0,7,1,41,6,-40,-34
1998,Group A,Norway,Morocco,Brazil,0.5,0.0,1.0,0,0,0,,7,13,1,-6,12,6
1998,Group A,Norway,Morocco,Scotland,0.5,1.0,0.5,0,1,0,,7,13,41,-6,-28,-34
1998,Group A,Norway,Scotland,Brazil,0.5,0.0,1.0,0,0,0,,7,41,1,-34,40,6
1998,Group A,Norway,Scotland,Morocco,0.5,0.0,0.5,0,0,0,,7,41,13,-34,28,-6
1998,Group A,Scotland,Brazil,Morocco,0.0,1.0,0.0,0,1,0,,41,1,13,40,-12,28
1998,Group A,Scotland,Brazil,Norway,0.0,0.0,0.5,0,0,0,,41,1,7,40,-6,34
1998,Group A,Scotland,Morocco,Brazil,0.0,0.0,0.0,0,0,0,,41,13,1,28,12,40
1998,Group A,Scotland,Morocco,Norway,0.0,0.5,0.5,0,0,0,,41,13,7,28,6,34
1998,Group A,Scotland,Norway,Brazil,0.5,1.0,0.0,0,1,0,,41,7,1,34,6,40
1998,Group A,Scotland,Norway,Morocco,0.5,0.5,0.0,0,0,0,,41,7,13,34,-6,28
1998,Group B,Austria,Cameroon,Chile,0.5,0.5,0.5,0,0,0,,31,49,9,-18,40,22
1998,Group B,Austria,Cameroon,Italy,0.5,0.0,0.0,0,0,0,,31,49,14,-18,35,17
1998,Group B,Austria,Chile,Cameroon,0.5,0.5,0.5,0,0,0,,31,9,49,22,-40,-18
1998,Group B,Austria,Chile,Italy,0.5,0.5,0.0,0,0,0,,31,9,14,22,-5,17
1998,Group B,Austria,Italy,Cameroon,0.0,1.0,0.5,0,1,0,,31,14,49,17,-35,-18
1998,Group B,Austria,Italy,Chile,0.0,0.5,0.5,0,0,0,,31,14,9,17,5,22
1998,Group B,Cameroon,Austria,Chile,0.5,0.5,0.5,0,0,0,,49,31,9,18,22,40
1998,Group B,Cameroon,Austria,Italy,0.5,0.0,0.0,0,0,0,,49,31,14,18,17,35
1998,Group B,Cameroon,Chile,Austria,0.5,0.5,0.5,0,0,0,,49,9,31,40,-22,18
1998,Group B,Cameroon,Chile,Italy,0.5,0.5,0.0,0,0,0,,49,9,14,40,-5,35
1998,Group B,Cameroon,Italy,Austria,0.0,1.0,0.5,0,1,0,,49,14,31,35,-17,18
1998,Group B,Cameroon,Italy,Chile,0.0,0.5,0.5,0,0,0,,49,14,9,35,5,40
1998,Group B,Chile,Austria,Cameroon,0.5,0.5,0.5,0,0,0,,9,31,49,-22,-18,-40
1998,Group B,Chile,Austria,Italy,0.5,0.0,0.5,0,0,0,,9,31,14,-22,17,-5
1998,Group B,Chile,Cameroon,Austria,0.5,0.5,0.5,0,0,0,,9,49,31,-40,18,-22
1998,Group B,Chile,Cameroon,Italy,0.5,0.0,0.5,0,0,0,,9,49,14,-40,35,-5
1998,Group B,Chile,Italy,Austria,0.5,1.0,0.5,0,1,0,,9,14,31,-5,-17,-22
1998,Group B,Chile,Italy,Cameroon,0.5,1.0,0.5,0,1,0,,9,14,49,-5,-35,-40
1998,Group B,Italy,Austria,Cameroon,1.0,0.5,1.0,1,0,0,,14,31,49,-17,-18,-35
1998,Group B,Italy,Austria,Chile,1.0,0.5,0.5,1,0,0,,14,31,9,-17,22,5
1998,Group B,Italy,Cameroon,Austria,1.0,0.5,1.0,1,0,0,,14,49,31,-35,18,-17
1998,Group B,Italy,Cameroon,Chile,1.0,0.5,0.5,1,0,0,,14,49,9,-35,40,5
1998,Group B,Italy,Chile,Austria,0.5,0.5,1.0,0,0,0,,14,9,31,5,-22,-17
1998,Group B,Italy,Chile,Cameroon,0.5,0.5,1.0,0,0,0,,14,9,49,5,-40,-35
1998,Group C,Denmark,France,Saudi Arabia,0.0,1.0,1.0,0,1,0,,27,18,34,9,-16,-7
1998,Group C,Denmark,France,South Africa,0.0,1.0,0.5,0,1,0,,27,18,24,9,-6,3
1998,Group C,Denmark,Saudi Arabia,France,1.0,0.0,0.0,1,0,0,,27,34,18,-7,16,9
1998,Group C,Denmark,Saudi Arabia,South Africa,1.0,0.5,0.5,1,0,0,,27,34,24,-7,10,3
1998,Group C,Denmark,South Africa,France,0.5,0.0,0.0,0,0,0,,27,24,18,3,6,9
1998,Group C,Denmark,South Africa,Saudi Arabia,0.5,0.5,1.0,0,0,0,,27,24,34,3,-10,-7
1998,Group C,France,Denmark,Saudi Arabia,1.0,1.0,1.0,1,1,1,1,18,27,34,-9,-7,-16
1998,Group C,France,Denmark,South Africa,1.0,0.5,1.0,1,0,0,,18,27,24,-9,3,-6
1998,Group C,France,Saudi Arabia,Denmark,1.0,0.0,1.0,1,0,0,,18,34,27,-16,7,-9
1998,Group C,France,Saudi Arabia,South Africa,1.0,0.5,1.0,1,0,0,,18,34,24,-16,10,-6
1998,Group C,France,South Africa,Denmark,1.0,0.5,1.0,1,0,0,,18,24,27,-6,-3,-9
1998,Group C,France,South Africa,Saudi Arabia,1.0,0.5,1.0,1,0,0,,18,24,34,-6,-10,-16
1998,Group C,Saudi Arabia,Denmark,France,0.0,0.0,0.0,0,0,0,,34,27,18,7,9,16
1998,Group C,Saudi Arabia,Denmark,South Africa,0.0,0.5,0.5,0,0,0,,34,27,24,7,3,10
1998,Group C,Saudi Arabia,France,Denmark,0.0,1.0,0.0,0,1,0,,34,18,27,16,-9,7
1998,Group C,Saudi Arabia,France,South Africa,0.0,1.0,0.5,0,1,0,,34,18,24,16,-6,10
1998,Group C,Saudi Arabia,South Africa,Denmark,0.5,0.5,0.0,0,0,0,,34,24,27,10,-3,7
1998,Group C,Saudi Arabia,South Africa,France,0.5,0.0,0.0,0,0,0,,34,24,18,10,6,16
1998,Group C,South Africa,Denmark,France,0.5,0.0,0.0,0,0,0,,24,27,18,-3,9,6
1998,Group C,South Africa,Denmark,Saudi Arabia,0.5,1.0,0.5,0,1,0,,24,27,34,-3,-7,-10
1998,Group C,South Africa,France,Denmark,0.0,1.0,0.5,0,1,0,,24,18,27,6,-9,-3
1998,Group C,South Africa,France,Saudi Arabia,0.0,1.0,0.5,0,1,0,,24,18,34,6,-16,-10
1998,Group C,South Africa,Saudi Arabia,Denmark,0.5,0.0,0.5,0,0,0,,24,34,27,-10,7,-3
1998,Group C,South Africa,Saudi Arabia,France,0.5,0.0,0.0,0,0,0,,24,34,18,-10,16,6
1998,Group D,Bulgaria,Nigeria,Paraguay,0.0,0.0,0.5,0,0,0,,35,74,29,-39,45,6
1998,Group D,Bulgaria,Nigeria,Spain,0.0,1.0,0.0,0,1,0,,35,74,15,-39,59,20
1998,Group D,Bulgaria,Paraguay,Nigeria,0.5,1.0,0.0,0,1,0,,35,29,74,6,-45,-39
1998,Group D,Bulgaria,Paraguay,Spain,0.5,0.5,0.0,0,0,0,,35,29,15,6,14,20
1998,Group D,Bulgaria,Spain,Nigeria,0.0,0.0,0.0,0,0,0,,35,15,74,20,-59,-39
1998,Group D,Bulgaria,Spain,Paraguay,0.0,0.5,0.5,0,0,0,,35,15,29,20,-14,6
1998,Group D,Nigeria,Bulgaria,Paraguay,1.0,0.5,0.0,1,0,0,,74,35,29,39,6,45
1998,Group D,Nigeria,Bulgaria,Spain,1.0,0.0,1.0,1,0,0,,74,35,15,39,20,59
1998,Group D,Nigeria,Paraguay,Bulgaria,0.0,0.5,1.0,0,0,0,,74,29,35,45,-6,39
1998,Group D,Nigeria,Paraguay,Spain,0.0,0.5,1.0,0,0,0,,74,29,15,45,14,59
1998,Group D,Nigeria,Spain,Bulgaria,1.0,1.0,1.0,1,1,1,1,74,15,35,59,-20,39
1998,Group D,Nigeria,Spain,Paraguay,1.0,0.5,0.0,1,0,0,,74,15,29,59,-14,45
1998,Group D,Paraguay,Bulgaria,Nigeria,0.5,0.0,1.0,0,0,0,,29,35,74,-6,-39,-45
1998,Group D,Paraguay,Bulgaria,Spain,0.5,0.0,0.5,0,0,0,,29,35,15,-6,20,14
1998,Group D,Paraguay,Nigeria,Bulgaria,1.0,1.0,0.5,1,1,1,0,29,74,35,-45,39,-6
1998,Group D,Paraguay,Nigeria,Spain,1.0,1.0,0.5,1,1,1,0,29,74,15,-45,59,14
1998,Group D,Paraguay,Spain,Bulgaria,0.5,1.0,0.5,0,1,0,,29,15,35,14,-20,-6
1998,Group D,Paraguay,Spain,Nigeria,0.5,0.0,1.0,0,0,0,,29,15,74,14,-59,-45
1998,Group D,Spain,Bulgaria,Nigeria,1.0,0.0,0.0,1,0,0,,15,35,74,-20,-39,-59
1998,Group D,Spain,Bulgaria,Paraguay,1.0,0.5,0.5,1,0,0,,15,35,29,-20,6,-14
1998,Group D,Spain,Nigeria,Bulgaria,0.0,1.0,1.0,0,1,0,,15,74,35,-59,39,-20
1998,Group D,Spain,Nigeria,Paraguay,0.0,0.0,0.5,0,0,0,,15,74,29,-59,45,-14
1998,Group D,Spain,Paraguay,Bulgaria,0.5,0.5,1.0,0,0,0,,15,29,35,-14,-6,-20
1998,Group D,Spain,Paraguay,Nigeria,0.5,1.0,0.0,0,1,0,,15,29,74,-14,-45,-59
1998,Group E,Belgium,Mexico,Netherlands,0.5,0.5,0.5,0,0,0,,36,4,25,32,-21,11
1998,Group E,Belgium,Mexico,South Korea,0.5,1.0,0.5,0,1,0,,36,4,,32,,
1998,Group E,Belgium,Netherlands,Mexico,0.5,0.5,0.5,0,0,0,,36,25,4,11,21,32
1998,Group E,Belgium,Netherlands,South Korea,0.5,1.0,0.5,0,1,0,,36,25,,11,,
1998,Group E,Belgium,South Korea,Mexico,0.5,0.0,0.5,0,0,0,,36,,4,,,32
1998,Group E,Belgium,South Korea,Netherlands,0.5,0.0,0.5,0,0,0,,36,,25,,,11
1998,Group E,Mexico,Belgium,Netherlands,0.5,0.5,0.5,0,0,0,,4,36,25,-32,11,-21
1998,Group E,Mexico,Belgium,South Korea,0.5,0.5,1.0,0,0,0,,4,36,,-32,,
1998,Group E,Mexico,Netherlands,Belgium,0.5,0.5,0.5,0,0,0,,4,25,36,-21,-11,-32
1998,Group E,Mexico,Netherlands,South Korea,0.5,1.0,1.0,0,1,0,,4,25,,-21,,
1998,Group E,Mexico,South Korea,Belgium,1.0,0.5,0.5,1,0,0,,4,,36,,,-32
1998,Group E,Mexico,South Korea,Netherlands,1.0,0.0,0.5,1,0,0,,4,,25,,,-21
